geometry,name,public_transport,railway,ref,station,subway,old_name,operator,wikidata,wikimedia_commons,wikipedia,start_date,website,wheelchair,network,operator:short,train,network:short,network:wikidata,name:ja,name:pt,toilets:wheelchair,addr:city,addr:street,addr:suburb,operator:wikidata,internet_access,gtfs_id,construction,name:etymology:wikidata,short_name,alt_name,bicycle,addr:housenumber,addr:postcode,official_name,monorail,fixme,platforms,source:alt_name,building,planned,addr:country,bench,layer,lit,opening_hours,shelter,source,surface,toilets,wheelchair:description,height,addr:state,contact:facebook,contact:flickr,contact:instagram,contact:phone,contact:twitter,contact:website,contact:youtube,min_height,wheelchair:description:pt,check_date,construction:railway,opening_date,type,highway,waterway,access,entrance,description,is_in,level,departures_board,elevator
POINT (-46.7092398 -23.7542445),Mendes - Vila Natal,station,station,,,,,ViaMobilidade Linhas 8 e 9,Q18475676,,pt:Estação Mendes–Vila Natal,2021-08-10,,yes,,,yes,,,,,yes,,,,,yes,,,,,,,,,Estação Bruno Covas/Mendes - Vila Natal,,,,,train_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.734809 -23.5934343),Vila Sônia - Professora Elizabeth Tenreiro,station,station,VSO,subway,yes,Vila Sônia,ViaQuatro,Q7930027,Category:Vila Sônia (São Paulo Metro),pt:Terminal Intermodal Vila Sônia,2021-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7119508 -23.7702001),Varginha,station,station,,,,,ViaMobilidade Linhas 8 e 9,Q18475846,,,2025-01-27,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7826592 -23.4022752),Parada da Onça,station,station,,,,,,,,,,https://peruspirapora.com.br/,,,,,,,,,,,,,,,,,,,Parada Onça,,,,,,confirmar posição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7431515 -23.6017052),futura Estação Chácara do Jockey,,planned,,subway,,,,Q126734956,,pt:Estação Chácara do Jockey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5761083 -23.5783638),Estação Orfanato,,construction,,subway,yes,,,Q84048066,,pt:Estação Orfanato,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5761278 -23.5783284),Estação Orfanato,,construction,,subway,yes,,,Q84048066,,pt:Estação Orfanato,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7702936 -23.663829),Estação de Metrô Capão Redondo,station,station,,subway,yes,,ViaMobilidade Linhas 5 e 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6288763 -23.5251483),Armênia,station,station,,subway,yes,,Metropolitano de São Paulo,,,,,,,Linha 1,,,,,,,,São Paulo,Rua Pedro Vicente,Luz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6254001 -23.5162359),Portuguesa-Tietê,station,station,,subway,yes,,Metropolitano de São Paulo,,,,,,,Linha 1,,,,,,,,São Paulo,Avenida Cruzeiro do Sul,Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
